,YEAR,TEAM,SEED,ROUND,E8,F4,Finals,Champions
1146,2025,Alabama,2,0,0.583,0.326,0.188,0.108
1143,2025,Arizona,4,0,0.394,0.134,0.066,0.023
1142,2025,Arkansas,10,0,0.41,0.12,0.039,0.008
1141,2025,Auburn,1,0,0.676,0.474,0.304,0.181
1138,2025,BYU,6,0,0.417,0.183,0.059,0.023
1132,2025,Duke,1,0,0.606,0.357,0.258,0.143
1131,2025,Florida,1,0,0.594,0.436,0.28,0.15
1126,2025,Houston,1,0,0.519,0.318,0.188,0.098
1122,2025,Kentucky,3,0,0.467,0.18,0.062,0.018
1117,2025,Maryland,4,0,0.406,0.163,0.071,0.028
1114,2025,Michigan,5,0,0.324,0.144,0.044,0.015
1113,2025,Michigan St.,2,0,0.453,0.165,0.08,0.028
1112,2025,Mississippi,6,0,0.547,0.217,0.047,0.009
1101,2025,Purdue,4,0,0.481,0.199,0.051,0.019
1094,2025,Tennessee,2,0,0.533,0.304,0.128,0.077
1091,2025,Texas Tech,3,0,0.59,0.281,0.135,0.072
