,YEAR,TEAM,SEED,ROUND
1147,2025,Akron,13,64
1146,2025,Alabama,2,0
1145,2025,Alabama St.,16,64
1143,2025,Arizona,4,0
1142,2025,Arkansas,10,0
1141,2025,Auburn,1,0
1140,2025,Baylor,9,32
1139,2025,Bryant,15,64
1138,2025,BYU,6,0
1137,2025,Clemson,5,64
1136,2025,Colorado St.,12,32
1135,2025,Connecticut,8,32
1134,2025,Creighton,9,32
1133,2025,Drake,11,32
1132,2025,Duke,1,0
1131,2025,Florida,1,0
1130,2025,Georgia,9,64
1129,2025,Gonzaga,8,32
1128,2025,Grand Canyon,13,64
1127,2025,High Point,13,64
1126,2025,Houston,1,0
1125,2025,Illinois,6,32
1124,2025,Iowa St.,3,32
1123,2025,Kansas,7,64
1122,2025,Kentucky,3,0
1121,2025,Liberty,12,64
1120,2025,Lipscomb,14,64
1119,2025,Louisville,8,64
1118,2025,Marquette,7,64
1117,2025,Maryland,4,0
1116,2025,McNeese St.,12,32
1115,2025,Memphis,5,64
1114,2025,Michigan,5,0
1113,2025,Michigan St.,2,0
1112,2025,Mississippi,6,0
1111,2025,Mississippi St.,8,64
1110,2025,Missouri,6,64
1109,2025,Montana,14,64
1108,2025,Mount St. Mary's,16,64
1107,2025,Nebraska Omaha,15,64
1106,2025,New Mexico,10,32
1105,2025,Norfolk St.,16,64
1104,2025,North Carolina,11,64
1103,2025,Oklahoma,9,64
1102,2025,Oregon,5,32
1101,2025,Purdue,4,0
1100,2025,Robert Morris,15,64
1098,2025,Saint Mary's,7,32
1096,2025,SIU Edwardsville,16,64
1095,2025,St. John's,2,32
1094,2025,Tennessee,2,0
1092,2025,Texas A&M,4,32
1091,2025,Texas Tech,3,0
1090,2025,Troy,14,64
1089,2025,UC San Diego,12,64
1088,2025,UCLA,7,32
1087,2025,UNC Wilmington,14,64
1086,2025,Utah St.,10,64
1085,2025,Vanderbilt,10,64
1084,2025,VCU,11,64
1083,2025,Wisconsin,3,32
1082,2025,Wofford,15,64
1081,2025,Xavier,11,64
1080,2025,Yale,13,64
1079,2024,Akron,14,64
1078,2024,Alabama,4,4
1077,2024,Arizona,2,16
1076,2024,Auburn,4,64
1075,2024,Baylor,3,32
1073,2024,BYU,6,64
1072,2024,Clemson,6,8
1071,2024,Colgate,14,64
1070,2024,College of Charleston,13,64
1069,2024,Colorado,10,32
1068,2024,Colorado St.,10,64
1067,2024,Connecticut,1,1
1066,2024,Creighton,3,16
1065,2024,Dayton,7,32
1064,2024,Drake,10,64
1063,2024,Duke,4,8
1062,2024,Duquesne,11,32
1061,2024,Florida,7,64
1060,2024,Florida Atlantic,8,64
1059,2024,Gonzaga,5,16
1058,2024,Grambling St.,16,64
1057,2024,Grand Canyon,12,32
1056,2024,Houston,1,16
1054,2024,Illinois,3,8
1053,2024,Iowa St.,2,16
1052,2024,James Madison,12,32
1051,2024,Kansas,4,32
1050,2024,Kentucky,3,64
1049,2024,Long Beach St.,15,64
1048,2024,Longwood,16,64
1047,2024,Marquette,2,16
1046,2024,McNeese St.,12,64
1045,2024,Michigan St.,9,32
1044,2024,Mississippi St.,8,64
1042,2024,Morehead St.,14,64
1041,2024,Nebraska,8,64
1040,2024,Nevada,10,64
1039,2024,New Mexico,11,64
1038,2024,North Carolina,1,16
1037,2024,North Carolina St.,11,4
1036,2024,Northwestern,9,32
1035,2024,Oakland,14,32
1034,2024,Oregon,11,32
1033,2024,Purdue,1,2
1032,2024,Saint Mary's,5,64
1031,2024,Saint Peter's,15,64
1030,2024,Samford,13,64
1029,2024,San Diego St.,5,16
1028,2024,South Carolina,6,64
1027,2024,South Dakota St.,15,64
1026,2024,Stetson,16,64
1025,2024,TCU,9,64
1024,2024,Tennessee,2,8
1023,2024,Texas,7,32
1022,2024,Texas A&M,9,32
1021,2024,Texas Tech,6,64
1020,2024,UAB,12,64
1019,2024,Utah St.,8,32
1018,2024,Vermont,13,64
1016,2024,Wagner,16,64
1015,2024,Washington St.,7,32
1014,2024,Western Kentucky,15,64
1013,2024,Wisconsin,5,64
1012,2024,Yale,13,32
1011,2023,Alabama,1,16
1010,2023,Arizona,2,64
1009,2023,Arizona St.,11,64
1008,2023,Arkansas,8,16
1007,2023,Auburn,9,32
1006,2023,Baylor,3,32
1005,2023,Boise St.,10,64
1004,2023,Colgate,15,64
1003,2023,College of Charleston,12,64
1002,2023,Connecticut,4,1
1001,2023,Creighton,6,8
1000,2023,Drake,12,64
999,2023,Duke,5,32
998,2023,Fairleigh Dickinson,16,32
997,2023,Florida Atlantic,9,4
996,2023,Furman,13,32
995,2023,Gonzaga,3,8
994,2023,Grand Canyon,14,64
993,2023,Houston,1,16
992,2023,Howard,16,64
991,2023,Illinois,9,64
990,2023,Indiana,4,32
989,2023,Iona,13,64
988,2023,Iowa,8,64
987,2023,Iowa St.,6,64
986,2023,Kansas,1,32
985,2023,Kansas St.,3,8
984,2023,Kennesaw St.,14,64
983,2023,Kent St.,13,64
982,2023,Kentucky,6,32
